Año,D F,Reportado?,Categorías IPCC 2006,CO2-Absorciones en Gg,CO2 -Emisiones en Gg,CH4-Emisiones en Gg,N2O-Emisiones en Gg,HFC-32-Emisiones en Gg,HFC-125-Emisiones en Gg,HFC-134a-Emisiones en Gg,HFC-143a-Emisiones en Gg,HFC-152a-Emisiones en Gg,HFC-227ea-Emisiones en Gg,PFCs-Emisiones en Gg,SF6-Emisiones en Gg,NOX-Precursores en Gg,CO-Precursores en Gg,COVDM-Precursores en Gg,SO2-Precursores en Gg,CO2-Absorciones en Gg de CO2eq,CO2-Emisiones en Gg de CO2eq,CH4-Emisiones en Gg de CO2eq,N2O-Emisiones en Gg de CO2eq,HFC-32-Emisiones en Gg de CO2eq,HFC-125-Emisiones en Gg de CO2eq,HFC-134a-Emisiones en Gg de CO2eq,HFC-143a-Emisiones en Gg de CO2eq,HFC-152a-Emisiones en Gg de CO2eq,HFC-227ea-Emisiones en Gg de CO2eq,PFCs-Emisiones en Gg de CO2eq,SF6-Emisiones en Gg de CO2eq,Absorciones Totales.Gg de CO2eq,Emisiones totales (ΣGEI)-Gg de CO2eq,Con todas las emisiones y absorciones-Gg de CO2eq
2014,F,SI,TOTAL NACIONAL,"-22,658.77","166,975.58","2,148.73",73.64,3.29E-02,1.16E-01,9.63E-01,7.60E-02,6.52E-03,6.06E-04,0.00,0.01,25.36,1.15E+03,0.00,0.00E+00,"-22,658.77","166,975.58","45,123.42","22,827.01",21.40,326.00,"1,251.70",288.96,0.91,1.76,0.00,156.64,"-22,658.77","236,973.38","214,314.61"
2014,F,SI,1. Energía,NA,"72,537.64",415.00,4.06,NA,NA,NA,NA,NA,NA,NA,NA,"2,272.79",2.67E+03,"2,641.59",9.14E+03,NA,"72,537.64","8,715.10","1,257.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"82,509.85","82,509.85"
2014,F,SI,1A Actividades de quema de combustible,NA,"72,348.99",61.06,2.62,NA,NA,NA,NA,NA,NA,NA,NA,"2,272.79",2.67E+03,349.13,9.14E+03,NA,"72,348.99","1,282.16",811.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74,442.74","74,442.74"
2014,F,SI,1A1   Industrias de la energía,NA,"23,252.79",4.65E-01,0.14,NA,NA,NA,NA,NA,NA,NA,NA,"2,017.80",5.76E+02,76.42,8.81E+03,NA,"23,252.79",9.77,44.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23,307.40","23,307.40"
2014,F,SI,1A1a   Producción de electricidad y calor como actividad principal,NA,"11,937.81",1.93E-01,0.10,NA,NA,NA,NA,NA,NA,NA,NA,22.55,5.14E+00,3.64E-01,1.76E+02,NA,"11,937.81",4.06,31.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11,972.91","11,972.91"
2014,F,SI,1A1ai   Generación de electricidad,NA,"11,937.81",1.93E-01,0.10,NA,NA,NA,NA,NA,NA,NA,NA,22.55,5.14E+00,3.64E-01,1.76E+02,NA,"11,937.81",4.06,31.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11,972.91","11,972.91"
2014,D,SI,Sistema interconectado nacional,NA,"11,625.14",1.81E-01,0.10,NA,NA,NA,NA,NA,NA,NA,NA,22.28,5.07E+00,3.61E-01,1.76E+02,NA,"11,625.14",3.80,30.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11,659.18","11,659.18"
2014,D,SI,Zona no interconectada,NA,312.68,1.26E-02,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.27,6.83E-02,3.37E-03,1.25E-02,NA,312.68,2.66E-01,7.84E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,313.73,313.73
2014,x,SI,1A1aii   Generación combinada de calor y energía (CHP),NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
2014,x,SI,1A1aiii   Plantas generadoras de energía (CHP),NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
